Category: All categories

Week,ai and anxiety: (Worldwide)
2022-09-25,0
2022-10-02,0
2022-10-09,0
2022-10-16,0
2022-10-23,0
2022-10-30,0
2022-11-06,0
2022-11-13,0
2022-11-20,0
2022-11-27,0
2022-12-04,38
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,33
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,38
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,62
2023-04-16,38
2023-04-23,58
2023-04-30,0
2023-05-07,40
2023-05-14,0
2023-05-21,43
2023-05-28,34
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,43
2023-07-16,46
2023-07-23,0
2023-07-30,58
2023-08-06,0
2023-08-13,37
2023-08-20,66
2023-08-27,0
2023-09-03,49
2023-09-10,0
2023-09-17,0
2023-09-24,34
2023-10-01,43
2023-10-08,0
2023-10-15,70
2023-10-22,67
2023-10-29,36
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,56
2023-12-03,75
2023-12-10,50
2023-12-17,40
2023-12-24,0
2023-12-31,38
2024-01-07,52
2024-01-14,49
2024-01-21,68
2024-01-28,39
2024-02-04,61
2024-02-11,55
2024-02-18,52
2024-02-25,59
2024-03-03,100
2024-03-10,75
2024-03-17,42
2024-03-24,78
2024-03-31,53
2024-04-07,52
2024-04-14,0
2024-04-21,60
2024-04-28,91
2024-05-05,74
2024-05-12,56
2024-05-19,49
